,iterations,learning_rate,grow_policy,depth,bagging_temperature,border_count,subsample,min_data_in_leaf,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
25,504.9131802,0.053729449,0.700265466,6.713076013,13.23553034,213.5710925,0.80938204,16.19302531,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,102.93014739176377,64125.31609233688,0.9911679404459318,0.9660412145913242,178.08440074014246,118499.01238446105,0.983815788159277,0.9372657425692551,199.2786227465962,132595.98642940246,0.9773499487001924,0.9133895415530062
26,432.6807862,0.01,1.30029096,8.869687121,11.51575485,140.0225661,0.918705201,7.264516984,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,126.83702334543312,73464.96874434884,0.989614653479911,0.961095223218049,176.85094533207092,109251.08537653806,0.9846246642899424,0.9421616638258263,201.42938509318623,138117.58105821162,0.9757407200712835,0.9097828875732175
27,429.7559854,0.029594352,1.63466832,9.012845863,17.23096681,142.9384029,0.778653706,2.741390823,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,127.47720290909548,81267.95544371985,0.9887477068158805,0.9569630026378161,177.64543467926475,111896.35271128386,0.9847224781917124,0.9407612396483431,197.66738399816586,136621.97126156246,0.9765808009934763,0.9107598059071262
28,315.1610649,0.073094737,0.0,8.15610639,4.892663478,134.8486818,0.919663294,1.0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,110.12583451746796,60489.54330101632,0.9917023763875862,0.967966607486657,176.5956396034928,112145.63593108031,0.9847071208361984,0.940629267259973,204.73364522281375,149753.64017317301,0.9744011686977415,0.9021823225666763
29,342.02702,0.06512845,0.742597583,6.126096883,6.365455725,231.6284357,0.904529871,14.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,175.7173255277097,123052.10973593028,0.9827464417432321,0.9348354059948775,212.46006197420243,148804.31152736125,0.979578528650537,0.9212218920789388,230.69764778991953,172746.7372416095,0.9699472691709863,0.8871634465671844
30,240.9487623,0.07513264,1.142844071,4.800506023,2.637448832,72.24252118,0.16290383,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,331.4286821389783,420244.7092047914,0.9345236451249408,0.7774513909846863,391.6848711868614,542462.0665241652,0.9163467285595013,0.7128165522820562,403.3925638019089,531292.2676372486,0.9024411998344314,0.6529648588277229
31,495.2660281,0.05324271,1.735455238,8.76082043,7.1460369,149.2931722,0.874881515,20.0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,109.730799004645,66471.29131654998,0.9908643482688523,0.9647988586222962,178.70590614016274,114503.11015364096,0.984453443429555,0.9393812028939627,196.89800056723837,135079.43635823383,0.9770055980235218,0.9117673752819271
32,370.2350118,0.015466554,0.0,10.0,11.59346756,95.49512739,0.801023691,6.323714064,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,199.09025071229786,138817.70733135386,0.9801340857095905,0.9264864327935352,229.7733924784104,170309.54837689697,0.9762931997915283,0.9098368599383264,246.64517815018567,191529.29693076786,0.9664148185548005,0.8748948542116219
33,478.9392671,0.083156765,1.721067587,6.499181308,13.5815801,66.89898612,0.554139375,11.0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,106.04005278348949,62608.40222084566,0.9913962275944894,0.9668445252926896,180.50543407746184,115943.911351793,0.9842160360833677,0.9386184320366145,199.93780956058927,139570.9478855314,0.9762194822198308,0.9088335619518659
34,319.8525901,0.086944456,0.215324507,4.579669056,11.78361346,200.5006365,0.796456058,3.687398453,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,159.91627722584283,117099.12308231513,0.9837989035939099,0.9379879237309262,202.21622929972378,142900.35893684666,0.980423384755409,0.9243474884380931,218.0678476744543,159854.9704913071,0.9726966835107027,0.8955842280591633
35,422.969192,0.0162578,2.0,10.0,13.85841534,217.9662837,0.683942133,12.39415957,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,137.3402436347238,90864.61599606668,0.9873616096458468,0.951880907824158,178.17581793308088,119860.2062193093,0.9835782962769201,0.9365451164414064,199.56710740164652,136872.8744955037,0.97650957572434,0.9105959182608809
36,700.0,0.01,1.296230718,10.0,20.0,135.0569507,1.0,2.786719537,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,106.65584889782848,59714.18227382841,0.9917365879930108,0.9683772147216937,179.8148173241976,115594.56020574356,0.9839923349249805,0.9388033811285014,198.627977603173,134062.2460890231,0.9768134622522778,0.912431794454155
37,100.0,0.108112585,0.415339837,6.412887433,1.0,225.794674,0.500215454,1.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,262.4642730696731,205935.09587695112,0.9711534663570457,0.8909431382929872,281.910390609981,230490.74805620877,0.9685393633568905,0.8779764857697727,320.3949116960359,300731.0481998106,0.9488604269391806,0.8035652914147715
38,283.2055346,0.048179197,0.0,2.572970027,1.0,3.0,0.147723148,12.80819294,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,306.4780648483463,299254.1669967731,0.9528785100765875,0.8415242425462309,297.4519719682889,279979.4200088416,0.9555467089436845,0.8517768152095709,300.3433238008872,272327.741527868,0.9498255116002732,0.8221180657370719
39,437.5237124,0.029324605,1.463156016,7.548701966,11.12176017,139.7114687,0.842173827,9.198538987,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,118.15587633218934,74163.10854031886,0.9897365863261336,0.9607255099603013,177.4252732300978,113437.47391608117,0.9844318858230439,0.9399453586342461,197.10304818555602,131408.21740789674,0.9774251450989923,0.9141653811711723
40,131.7152126,0.051132078,0.675664713,6.709365793,1.0,186.5099328,0.502487224,4.056495124,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,150.73669081933065,105979.89903500762,0.9852215892028718,0.9438763211119199,188.13328947411145,128232.2869013941,0.9821724235660919,0.9321128747359916,207.4240699922973,148176.25665045157,0.9745024411332699,0.9032126547337994
41,344.6349397,0.165973208,1.684460043,5.0,2.566547339,26.49987743,0.453736653,12.0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,190.76121638289797,161407.22354931312,0.9773458478936368,0.9145237232042852,297.3828051604043,316014.39924284903,0.9533009658892327,0.8326996295158764,315.17164668798733,341082.0191293805,0.9407076698556465,0.7772084145205218
42,387.9108126,0.017860192,0.601276599,10.0,16.27875811,126.1899521,0.981695534,20.0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,121.94895128595574,76962.11402917298,0.9893630282659903,0.9592432431654392,183.63570422354712,119231.20636626883,0.9836194118956102,0.9368781136361553,197.93090947564122,132962.78979153297,0.9772751081527664,0.9131499490267955
43,237.3984474,0.171223006,2.0,3.931537055,17.83304558,114.3986503,0.559923152,4.745041267,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,145.67445984657508,102421.4920529283,0.9857080168432656,0.9457607434659113,196.14958248195745,133775.06892831423,0.9818289453472698,0.9291784847561734,209.45811141324518,153001.88587452413,0.9735332017427092,0.9000605988484981
44,255.0099929,0.027409164,0.583037358,7.836589921,1.092511789,98.94499912,0.784791939,8.055003425,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,127.37470132302006,78819.10971127193,0.9890361362573488,0.95825983564847,177.28012430722782,110887.69970162118,0.9847411937625222,0.9412952280444757,196.70956569589134,136114.103070359,0.9765516499828403,0.9110915406606076
