,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,tree_method,max_bin,importance_type,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
40,26.0,2.0,0.258179107,0.515390247,1.0,1.0,0.841838005,0.530901804,3.281473787,3.641568024,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,252.89778406485206,111769.89944466513,0.43362996653661756,0.10495779570080233,254.11713865423542,110959.3139845116,0.43302648604134675,0.11175830943247977,244.14049903303362,97714.44879951194,0.43739555494019033,0.04583541115685641
41,341.3074757,4.360723191,1.0,0.881860429,0.503931655,0.801781071,0.360560055,0.409370472,6.28089166,2.524776653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,129.9842428639072,42627.71337290095,0.8871360715913663,0.6586415239605303,129.4428830322201,42102.81372908242,0.8921883893487522,0.6629622777805769,127.27476832637691,42466.27183427705,0.8622736846215028,0.5853242452649794
42,278.7722099,2.122125095,0.733529684,0.846063886,0.1,1.0,0.227627631,0.0,11.49291811,0.453487242,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.82101646298648,66219.22355472363,0.7906857531214311,0.46972306397444696,158.12781904856277,65988.15488224046,0.7886524312922985,0.4717574564473761,157.25998739113447,62389.34534217774,0.7781902673720565,0.39077889935444987
43,92.20566547,8.415097432,0.1,0.65256344,0.1,1.0,0.533656104,0.687523869,15.0,0.819541167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.9432665207411,28469.957816370905,0.931794821857294,0.7720154180429831,92.97121733998574,26983.833014823012,0.9368027002598581,0.7839914055486709,95.39371021179984,29256.160286041762,0.9136976967873573,0.7143186857888761
44,430.1401554,5.652256877,1.0,0.571914324,1.0,0.884723398,0.135830509,0.921297418,14.84511334,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.02911447661276,45061.026716443856,0.8798492524719816,0.639155793459059,138.25581302675738,41741.28097498034,0.8900776948976683,0.6658563878211634,138.52807562188235,45703.53529441042,0.8452192256057744,0.553712930906007
45,332.24941,2.0,0.501631357,0.331963695,0.162203557,0.454299055,0.882721962,1.394075012,12.72782595,0.84718175,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.02641801370314,21172.626275307226,0.9515390876802419,0.83045172102319,81.20976021023169,19298.211999270872,0.9571814098175605,0.8455156594285047,85.00024730377554,21710.069840633354,0.9402133597461287,0.7880049458627523
46,366.1218312,8.898414894,0.974681457,0.561801686,0.345372472,0.931093861,0.1,0.0,15.0,0.286560551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.94392913061753,31570.602374435406,0.9232249507046041,0.7471857657503075,95.28215618895017,29049.575190038977,0.9284776169044101,0.767454908916702,103.31913248528711,34241.02755315334,0.9064089480648139,0.665642324362326
47,223.0,2.775548032,0.1,0.391383507,0.29722638,0.250690648,0.554630676,0.0,15.0,3.170071032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120.50095406745557,39255.32543706582,0.899558949255992,0.6856472701125724,124.49932412096439,40415.73676423923,0.8969336232026939,0.6764675171476751,120.64357136372182,39211.63296961403,0.8869953576311718,0.6171052274256199
48,1.0,3.424847205,0.967382868,0.91998234,0.775374189,0.690230766,0.284310565,0.680968613,5.447104447,4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.14683380437076,34934.74365783686,0.9098924264988931,0.720246057968247,112.96709153331814,34545.649254908494,0.9117775841358093,0.723458222712014,108.33970644557566,33345.466987461165,0.8961231750396603,0.6743873174462156
49,388.1120324,7.66352429,0.548161972,0.1,1.0,0.1,0.18879897,0.0,12.90864419,2.217499633,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,249.31627985194626,106446.89858103708,0.4872418501143154,0.1475838555804293,253.84977660557257,109008.32365011614,0.4877273981026401,0.1273762047733451,237.1416444451565,93073.92114055906,0.4891535712113567,0.09114935622965636
