,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
12,30.20316373,7.114081683,8.568526289,1.0,0.361839022,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.41177181367516,200422.5364894429,0.9703264419660967,0.8938624193616905,275.14151874941786,240443.4011923043,0.9656736037579443,0.8727074772658622,274.70211833966295,230765.33488050033,0.9574207088043042,0.8492662411142013
13,327.6085413,20.0,2.0,14.55066587,0.085271953,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,188.1573951507787,115298.35183218835,0.9833928359618489,0.9389415565265153,227.48834666298518,154772.91646740105,0.9772254878701314,0.9180620682856734,235.94350942330587,166538.65403063945,0.9705238030034842,0.8912185084695706
14,500.0,19.99264545,16.60668543,4.769813295,0.769625116,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,116.89165906608174,57734.84393862835,0.9920547698521796,0.9694254111263623,178.0884906884542,116635.31537579041,0.9839491531145913,0.9382523976101893,201.13142067835193,138621.7618195987,0.9762946290989085,0.9094535614144115
15,464.4157564,18.49458833,17.85516883,9.239137082,0.902161285,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,134.15500358587926,76562.37619999869,0.989431782749818,0.9594549319646197,186.54496468727274,125426.95377070011,0.9827730358487093,0.9335980389349046,207.74962796220828,145921.1213775156,0.9752437833051615,0.9046856880065898
16,458.4738771,16.05866956,2.0,13.51943578,0.757714314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.39101084592716,263508.3731041414,0.9610996318995914,0.8604541101560016,312.37578716690854,283431.7673494751,0.9595259509219091,0.8499491168815463,312.58916533585653,292555.62466094975,0.9463229284535462,0.8089054016229797
17,261.6867225,20.0,6.213076979,7.210114378,0.855086152,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,131.92416851156761,74713.24221910209,0.9896759195193457,0.9604341761676227,192.37841318648992,137075.09758344418,0.9810819673111405,0.9274314250717595,209.8965887871318,149117.01621074072,0.9744984025659701,0.902598159385945
18,124.6792474,16.76809171,2.0,9.814305985,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,147.30716098379767,87606.53110744675,0.9878783442049947,0.9536062888798487,188.6951478645462,130804.13530346107,0.9819581629809797,0.9307513190868639,219.12939016540486,163509.1543178683,0.9720281117964977,0.8931973493534752
19,84.0,3.0,4.0,12.0,0.672369437,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,248.24372065301475,183473.02573371652,0.9726519815732659,0.9028383563801833,223.1846722977438,149194.58621251318,0.9779434471614216,0.9210152777614491,247.2721713144241,180820.3109810971,0.967136793587625,0.8818898636955419
20,429.2638188,9.503705118,18.10933632,5.659734318,0.524355701,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,125.70876262090077,64468.8773572983,0.9910867234246815,0.9658592751642381,179.42049147785661,114673.4900014124,0.9842899616424439,0.9392910025368792,197.6593903198627,134145.61202930045,0.9770574508954452,0.9123773406015104
21,325.7052122,12.79668715,6.222871951,7.290748575,0.806045583,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,118.27887021746946,56843.489166718915,0.9921915232341549,0.9698974450634532,183.36748857816312,117409.33286693995,0.9839710778469316,0.9378426270005564,198.96358355662795,132536.76148173498,0.9775061563692559,0.9134282267350174
