,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
20,367.9275204,11.484082,7.63309074,7.108168553,0.526625848,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40.91789907243324,7292.396126608982,0.984434314214321,0.9416032193263768,56.36373976758809,12492.874895826479,0.9734919665796521,0.8999931423596725,62.068366894566786,14160.306692386403,0.9624936345458746,0.8617270692407449
21,224.7422589,10.0,11.11467055,6.89016251,0.513433426,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,42.772540807767555,7817.079787129374,0.983260528910465,0.9374016049167258,56.49971663597381,12517.869661874447,0.9733930112926904,0.8997930564682539,62.35629532462234,14203.645638777047,0.9623263020616757,0.8613038719708246
22,436.4390238,4.674494566,10.07279841,10.58919558,0.314433281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.82622016494523,27452.757700370963,0.9346648719281401,0.7801610550934015,91.7890336474033,26365.585799501147,0.9386469718799167,0.7889405434984856,94.0774595800298,28569.55888406927,0.9159001262757925,0.7210232290008671
23,209.5872029,17.52032794,18.98803365,13.06048517,0.614540156,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,42.349221209802394,7925.2457545732495,0.983052368673217,0.9365354226403514,56.163957319967565,12518.061461508863,0.9734487396995464,0.8997915210907772,61.98803526543513,14247.538015296592,0.9623813354179108,0.8608752705520002
24,249.1999384,10.83572803,16.17456883,8.99192377,0.770206654,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,39.34887064445476,7002.1743403875835,0.9851283660038992,0.9439272864371632,56.34991639458059,12658.059180432321,0.9733497786434552,0.8986708237282329,61.244987799814034,14072.799366298012,0.9628937231238924,0.8625815630524964
25,291.9037605,10.78819836,20.0,8.436837309,0.578007724,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,41.94351117550742,7711.94940201413,0.9835104401649614,0.9382434785526501,55.825762762341014,12342.166140512143,0.9738407404997029,0.901199582763787,60.88989290504965,13729.707694705232,0.9636821985560842,0.8659317935228388
26,313.1547337,5.435251014,20.0,9.247892161,0.730515455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.82531129349238,27438.814120944262,0.9346915960504136,0.780272713886403,91.80594336411794,26368.840789491445,0.93862537816398,0.7889144869403839,94.09689181177777,28573.994184448256,0.915879482651398,0.7209799190644708
27,409.4257743,11.5969105,15.0,13.59169653,0.505119792,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,48.301960258889785,9589.129261593756,0.9792722807355048,0.9232112095094448,58.397430583896686,12908.02855998981,0.9723940150810184,0.8966697909504054,63.583778138713775,14507.94920186503,0.9612578558214653,0.8583324006303569
28,500.0,20.0,13.56373101,6.992766023,0.430400939,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,37.68790351293056,6420.256113560693,0.9863349017026944,0.9485872295439285,55.33303941782082,12176.6357970149,0.974182932413964,0.9025246716352695,60.32359998581382,13614.950168551552,0.9640872459066889,0.867052380796311
29,151.6657023,13.32171884,18.38466888,3.727797197,0.634605849,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,38.598574383259,6638.114040845404,0.9859070142463312,0.9468426449963017,56.3135721984977,12517.783542727218,0.9736343129865949,0.8997937458616377,62.130279352359466,14206.409274663545,0.9625496214718129,0.8612768855473043
