,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,tree_method,max_bin,importance_type,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
15,424.12384459266514,10.0,0.3069640464484622,0.8761976693854134,0.8939492553572082,0.3539494216975399,0.9972393598088264,0.0,13.863175313909329,0.8298580629159724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.61864559301034,306883.18224876764,0.9539878634731069,0.8374841518673959,316.84130039935565,287617.94545649964,0.9586607684198951,0.8477329230945045,309.63102023167335,286432.9245722173,0.946796910701257,0.8129046920683274
16,500.0,5.814217535795844,0.1,0.1784377095378875,0.7742342359690602,0.7601765733085502,0.9677745812202396,1.6915044463580815,13.628385940073294,0.9899865672083762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.6781710495522,307227.1089968235,0.9540603532257911,0.8373020188917594,316.9590039809632,287293.39153513475,0.9585635000358831,0.8479047443514363,308.73461586065093,286650.11063869693,0.9468650813052345,0.812762828160583
17,500.0,7.291688638522536,0.1,0.5954273557057702,1.0,0.1899598310621326,0.8547785565337903,0.0886031346216617,13.575955291516992,0.0088707799546211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.9744305992407,306852.69850243174,0.9540871903527065,0.8375002951172597,317.8439962823345,287836.0853933493,0.9587552773493124,0.8476174381914756,309.9167067945503,286530.1867598139,0.9469196031925392,0.812841161316876
18,358.32054495577574,4.883362198487201,0.333020956645338,0.1,0.1,0.6065637673963027,0.706796415961956,1.626369020437886,13.84452225709796,0.0031839186117174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.4781519007062,308104.27159268816,0.9542475185114655,0.836837500692448,312.65930443910133,295038.9997255497,0.9581333391368246,0.8438041618368861,310.2217619153877,288977.8339797256,0.946724996358818,0.8112423810404765
19,233.56666191995984,2.0,0.7296163604889783,0.5239967541817299,0.6286169015044352,0.8764723882457076,0.9113640304386048,1.719787068086354,13.812294306958714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.4814383225035,307188.80066035676,0.9539650623257325,0.8373223058027129,316.6109556646242,286849.7081091347,0.9583157191126245,0.8481396336530799,308.92608721137395,285777.9151330848,0.9469626429436498,0.8133325381090564
20,197.07123328985372,10.0,1.0,0.9743792564471112,0.1,1.0,0.1581282762144501,0.1565795509533346,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0484430388049,468341.1618690825,0.9248778492102921,0.751980996225254,366.0322813654176,424322.2573596126,0.9312079159210398,0.7753606448598269,375.5159785076474,463242.37893617956,0.9166669506618671,0.697414409801157
21,355.7145373481267,6.546960315976337,0.3332168163506303,0.6469162366532505,0.3247932979183817,0.9453256098968412,0.6912338565598789,0.8692570498271134,15.0,0.0031839186117174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.71426940928905,301263.7101272341,0.9550063798357667,0.840460050615566,318.31340911170327,290278.35521359247,0.9585412192588125,0.8463244824061448,311.3905480143345,287563.141413173,0.94686269192668,0.8121664449963333
22,108.72240505502064,7.552379843294653,0.9501623037132438,0.2209481720746549,0.274978977936611,0.9666791735092634,0.8214400453444789,0.9522686114992134,15.0,0.0919770572389802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.570572189455,316654.15812589927,0.9528456436673169,0.8323097450454932,314.21177577399186,302393.7088950313,0.9563747166200391,0.8399105241678264,317.3326182162665,296348.85664246685,0.9450435142138139,0.8064276979626965
23,355.7145373481267,8.541602781856358,0.1,0.1,1.0,0.7933688805878926,0.8019102048206517,0.9382965316058846,15.0,0.0031839186117174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.9606000129142,316573.06815966155,0.9523436785982753,0.8323526877852732,321.09163020635805,293798.0880041351,0.9574024931677363,0.8444611097203628,317.2126471374789,293676.6682790926,0.9450613626270009,0.8081731464143492
24,264.33705274184905,10.0,0.1,0.7878468239547601,0.3093750330406987,1.0,0.667089849622728,0.3569825780606873,14.26641451834885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.89676704276866,306856.95254875487,0.9540171528951606,0.8374980423058116,317.6199566217558,287596.4496306603,0.958716633574752,0.8477443031443864,309.8808056315397,286433.8809457016,0.946850453089604,0.8129040673741104
25,33.93028307694873,10.0,0.7744103501784559,0.2355845940153049,0.412787096945962,1.0,0.5515424144765123,0.206344642294823,14.310660231227168,0.8160397497933103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.57813972892643,307822.648687329,0.9537833130241901,0.8369866394786878,312.44673004409617,289759.3584501732,0.9587312668606718,0.8465992431480861,309.60896262481003,288500.20395233063,0.9462441287566468,0.8115543645081116
26,274.09399626141965,7.205041079300475,0.2538135842571938,0.4785169561725639,0.4611934875899787,0.8494845838279125,0.3222457559185974,0.0,14.26537449715927,0.0031839186117174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,608.3145562977701,841659.9833472709,0.839336040942013,0.5542828869583504,608.2792668598307,834906.2661220386,0.8377052997486343,0.5579944205821055,611.5852270261859,875013.9323599088,0.8092206324251234,0.4284490815297144
