,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
223,5.595166596,50.0,1007.211626,0.002001362,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,49.56159258010791,9639.156629159856,0.9794993426947373,0.9228105953408348,59.125301448095584,12284.900638239562,0.9742610276140383,0.901657999499825,60.99973521728327,13260.299908520628,0.9652258219364821,0.8705154788713954
224,1.739716053,44.23994064,384.9999354,0.077455224,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.65912825040446,15425.872241542065,0.9660792334236181,0.8764711540145649,66.92336164589608,16144.857294204676,0.9653997614904419,0.8707586157302896,77.16675959214261,19406.40758984265,0.9487910415614834,0.8104998068721935
225,6.417905575,48.0,713.5412386,0.035628801,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,60.654311278703325,13417.944197648349,0.970562985878571,0.892550441473981,65.59559652000968,15337.780304585509,0.9681679313570833,0.8772193570951607,72.15505571941821,17071.31249284046,0.9543689554350138,0.833301604155134
226,1.0,40.47946114,232.6518684,0.037046713,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,57.50042904661268,12007.428804650483,0.9741343783259603,0.9038457080244513,65.53513020354046,13792.050937734815,0.970320230302159,0.889593093167132,70.21978674447246,15830.084054203802,0.9583919050457455,0.84542198386727
227,2.909464936,41.90853088,462.9607995,0.002238033,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,51.729051329697874,10384.052822146366,0.9779152356010442,0.9168455409401658,59.35777246112481,12585.383519475397,0.9734961771187012,0.8992526005041825,63.037500519327786,13589.841585783488,0.9645105643714109,0.8672975617377957
228,1.0,50.0,313.3004483,0.044776055,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,114.4598099218938,36291.06167270783,0.9084105012297402,0.7093847986149464,119.34683426640261,37436.35413389927,0.9040623719326433,0.7003178075774634,116.58971198770841,37343.51568979562,0.8936654324887877,0.6353470675844481
229,6.040428136,18.93752201,131.0,0.03243794,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,54.66548194359867,11071.821958785533,0.976100902593727,0.9113379543075838,58.810928612075294,12875.695556959241,0.9730696434742033,0.896928620247755,64.44528126096102,13922.107172155967,0.9630225003897741,0.864053046105739
230,5.637496753,47.5874931,1024.0,0.012303678,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,54.32512611274818,11916.12222711726,0.974745340835872,0.9045768819883575,63.97477120088943,14603.402275118686,0.9691771870572355,0.8830981351714231,69.31326516347565,16627.34060949885,0.956781599519539,0.8376369123386324
231,4.17423636,39.18392842,1023.756132,0.03910968,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,60.52532093749097,13762.663886206627,0.9699569284359928,0.8897899605981322,63.1642810236798,14715.386617231765,0.9689527414010228,0.8822016880163019,71.74255121293007,16882.063080270007,0.9554978085118784,0.8351495917368332
232,5.16023545,38.18875171,1024.0,0.028661714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5020233935615,22212.825469519026,0.9497994723978261,0.8221219096488985,79.33755405356888,21179.863799158,0.9530138388801892,0.830452826793973,82.89448169257473,23077.646429712164,0.9365797531175352,0.7746507984478982
