,learning_rate,num_leaves,max_depth,bagging_fraction,feature_fraction,num_boost_round,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
298,0.013870897,99.99259181,54.29045757,0.447341351,0.604437905,680.9002929,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,60.73464654864316,14417.98747871331,0.9980606868988886,0.9923646794643541,181.09692786648108,117419.62310721716,0.9841554948798883,0.9378371792709123,203.9198339038896,139146.4652517056,0.9762419471449812,0.9091108300389962
299,0.015982311,32.43110966,19.41595186,0.330177119,0.676588488,534.1801172,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,92.15130250363534,26527.61871506515,0.9964153227232413,0.9859517930476802,178.10854997086918,105897.29348738828,0.9857349935175148,0.9439371861657125,203.3873258244842,138266.77455155237,0.9764671746420912,0.9096854357784572
300,0.01,64.33871148,56.07201215,0.64822765,0.799819351,1000.0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,52.567751144395025,9025.984118364306,0.9987912427867519,0.9952201177872357,178.49639205601727,111281.47503599606,0.9849443786616272,0.9410867604572827,203.57684754526707,140890.47314892002,0.9760217083304715,0.9079716603885382
301,0.118147404,75.58912632,30.89135495,0.1,0.745967553,997.9461377,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,452.3412508253504,529660.7358618695,0.9120351885469972,0.7195080451122486,515.0789538190292,674352.3836535814,0.8878413474903921,0.6429928386415167,496.2301205786296,621425.0835355052,0.8815210445032359,0.5940909463038107
302,0.01,100.0,13.48840584,0.38062241,0.446248228,519.110047,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,101.34365926477226,36249.72806070261,0.9950387214980031,0.9808032644304835,189.82804649546827,122790.18695947941,0.9830742045190526,0.9349939628720871,209.9762310316001,140906.4478888732,0.9758167556643097,0.9079612258377786
303,0.083709603,2.0,41.36674109,1.0,0.436819516,626.8603009,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,238.76622337618747,172105.5288174558,0.9751912860024704,0.9088582313989235,251.64570146104978,177028.26980340978,0.9748414804545329,0.9062799189048534,257.03603893970256,185012.08457329462,0.967394519679516,0.8791518363818756
304,0.052320948,100.0,35.67827798,0.667520634,0.662139555,224.462103,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,31.810051322171446,4036.3245596400843,0.9994616368226635,0.9978624872684727,177.93394261114827,104201.7783383184,0.985984560816641,0.9448348044808288,199.4883405311319,136881.87051052874,0.9765813354506409,0.9105900421479872
305,0.01650386,86.66843244,12.08041366,0.692716953,0.694346333,425.0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,64.8872805657508,15214.200990128022,0.9979516639412679,0.9919430293981824,176.02659091386082,104398.47562409128,0.9858757027257072,0.9447306714765674,202.04978482348153,139534.55896552702,0.9762234360808199,0.9088573308541444
306,0.2,2.0,64.0,0.937624237,0.933649864,1000.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,225.303770493771,143731.77575130062,0.9796097823236123,0.9238840940430137,234.17905666345266,151217.27194470837,0.9790655276703188,0.9199444529092272,254.4855199149771,173942.16149931855,0.9698034526997921,0.8863826066203133
307,0.2,2.0,55.63047137,0.877705844,0.751326823,1000.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,341.2756500106201,383121.34811585036,0.9406344813828839,0.7971107756035918,330.3207530609358,363621.3396601226,0.9437922917164652,0.807496161609008,368.07782426373524,441130.8260439194,0.9206386926884573,0.7118574693879812
308,0.01,46.20462831,37.05387563,0.717469015,0.746626783,851.4499147,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,67.25775976055994,14073.82551719374,0.9981096520318486,0.9925469370017711,175.09908723638105,103802.60788284097,0.985980394827194,0.9450461282852114,199.84596758302595,135958.8376231755,0.9767678387584462,0.9111929585988399
309,0.106200611,39.85771391,64.0,0.877705844,0.708190687,275.0997721,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,206.11128621260892,119017.15098568902,0.9832560336694216,0.9369721954359618,310.7310949204101,249716.3797247603,0.964424823271314,0.8677982935461069,296.37338378070984,227776.4569854404,0.9604684003447655,0.8512185482066265
310,0.072236575,100.0,51.11077426,0.829820717,0.649084966,217.6598281,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,24.32314197795782,2299.0505160001585,0.9996940386599408,0.9987824939060864,181.6736852098695,106888.15840161151,0.9855375317518505,0.9434126149194452,202.0623025479797,142643.80666425958,0.9757234174667817,0.9068263993315235
311,0.01,80.91100214,46.95773235,0.664198874,0.557942565,922.9340296,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,45.802902643632,7613.935031499332,0.9989808669859712,0.9959678953398378,175.47579732884265,104008.66494121421,0.9858828626753743,0.944937040147806,197.72731927620674,134590.71123244264,0.9769600718563949,0.9120866059640856
312,0.082127473,90.0,16.0,0.515304961,0.780585931,809.8874873,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,4.815265665364964,59.97777876234896,0.999992054405341,0.9999682376221687,187.24691711271336,124804.75837293353,0.9832500709634494,0.9339274338004844,210.99834792119822,147331.02292647463,0.974830034334177,0.9037647534986251
313,0.102974654,83.65650563,19.80518939,0.741833888,0.713949503,220.8301908,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,49.9623374884616,7438.4168576960765,0.9990059063723778,0.9960608443397448,196.1269086470325,126746.33413035855,0.9827885342907137,0.9328995491714344,214.75298047242407,153197.70033086746,0.9740296242488,0.8999326946766514
314,0.01,33.55254398,2.299470691,1.0,0.743073678,558.7300319,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,206.90582804974514,138389.51109581513,0.9802851119195461,0.92671319228513,214.69501371089183,139423.08370819988,0.9805446706437969,0.9261883837752097,240.6930359887705,163354.82350125298,0.971564326420554,0.8932981567997599
315,0.179096182,2.0,21.86418774,0.525551049,0.615798001,308.6999453,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,370.4921871091625,424954.8561476202,0.9327266535489311,0.7749570427456144,346.7191881027513,387893.24628573115,0.9380363607806309,0.7946464339366311,368.5103652211182,448183.6628922278,0.9201897087402676,0.7072506223088725
