,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
30,5.057615159,22.20494848,1.0,0.00392251,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,184.27282718678694,122078.58512460622,0.9834299821696695,0.935350954539206,203.04144881478078,141178.6663522426,0.9813196582531395,0.9252589652820412,231.9756879673309,167009.2566153685,0.9726505451980565,0.8909111152617722
31,3.0,43.0,652.0,0.010412751,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,223.70244484394263,172597.6075886294,0.9752054146474913,0.9085976416909463,224.75856750438643,173842.87697534077,0.9759902818723639,0.9079662895308447,248.19305304521464,205482.6692585355,0.9638306868373744,0.8657806418833853
32,1.588389151,10.0,335.0,0.055752956,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,403.33382204810414,460985.20467179787,0.9257682700099809,0.7558764837980294,395.1151989687236,427433.1701094883,0.9297198547869948,0.7737137045405093,382.32266202209837,451217.44520281395,0.918246873306019,0.7052689840721214
33,3.257420301,11.97130633,68.67729795,0.027431054,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,245.0150482151645,185906.12039353853,0.9737517611519503,0.9015498646507559,237.04677886680423,171547.91078309543,0.9764293320065089,0.9091812616812628,268.7107461010016,206149.60270674538,0.9639705131642025,0.8653450071914269
34,4.552968874,23.73640381,227.6474402,0.019619151,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,228.27039789998017,171692.12169227304,0.9749760217733014,0.9090771590347777,242.8886603779052,186052.8084164761,0.9745938282394099,0.9015022611239685,263.0354534834367,194015.83913176032,0.9654031030965734,0.8732706680972826
35,4.349769194,50.0,295.2391496,0.047945189,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,205.36805817832257,141084.24540356503,0.9800615475355261,0.9252861442849533,212.0046458766156,147287.68593733688,0.9795750581230248,0.9220248049326085,232.40346439956588,169466.31314887627,0.9710064314217491,0.8893061889097171
36,6.0,42.57103761,581.7931327,0.02912824,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,172.3483384621703,93430.53182660988,0.9869847938286063,0.9505220781079712,197.57384372617776,123439.71738417819,0.9831729908578334,0.9346500966401903,230.4790680634051,160855.80906146005,0.9724251201738122,0.8949304896638572
37,5.172996519,49.58834902,106.6545366,0.014846201,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,172.03670512976123,106580.56081676568,0.9848582264098992,0.9435582291976353,194.53625559618092,128008.40337543162,0.9827318717410309,0.9322314003377634,224.94414673734727,150865.83563166673,0.9736249254884056,0.9014558468931906
38,4.871891763,22.94121044,682.1915299,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,600.20191279248,763013.2725800447,0.8642895696807796,0.5959317541576434,612.9429195378899,768476.5093698971,0.8526729654126461,0.5931628272826587,634.3626431498311,878100.2368991687,0.8215939206560414,0.42643313626432244
39,2.555988387,25.47116595,575.3300108,0.056415649,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,179.98610085629517,105306.10553113057,0.9853345028041168,0.9442331413258737,202.7850812015693,129807.46748661595,0.9825645378336837,0.9312789624328863,224.21868647680807,149982.1637086325,0.9743740135356752,0.9020330531302095
40,2.835922131,19.64778397,1024.0,0.079055133,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,191.92567804884604,121945.84639160032,0.9829762535918432,0.9354212488694995,202.8600170486641,132617.06759197594,0.9822713949353696,0.9297915392658878,241.25528568961644,170609.90905617838,0.9706682251156253,0.8885592027566915
41,2.33628555,50.0,544.0,0.069903193,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,193.27499074211912,124758.35992194437,0.9823375875936761,0.9339318286333728,200.3921903663773,131409.81579477058,0.981962243362933,0.9304306673354441,231.0817184674274,167275.93778395056,0.9710195236439083,0.8907369216161571
42,7.0,10.0,161.1953531,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,293.6991741408488,264174.3632203615,0.9614878105415192,0.8601014223749628,293.8158367161236,246314.46882515078,0.9645877764475475,0.8695992904475844,275.66893974753964,237193.9083617663,0.9576498762605832,0.8450671570290351
43,4.0,14.0,181.3297888,0.091162054,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,193.5454043218767,121111.22029378926,0.9837975730750372,0.9358632410541655,199.08834804148844,129582.41377771176,0.9823230059403871,0.9313981075382003,247.29557397207228,185479.5499932601,0.9695335829135191,0.8788464923407655
