,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
318,95.10453103,17.24666388,2.0,1.0,0.534012077,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.86251899254214,4290.724992116251,0.9908196576346193,0.965640302316934,66.8659814304483,16356.671045811652,0.9639225657638438,0.8690630230120515,73.24244095706655,18668.15441534277,0.9492928711201316,0.8177087206547818
319,467.8604457,14.65474172,20.0,1.0,0.001,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62.78130070618648,13612.669414261585,0.9696976771659825,0.8909911013656324,74.67250214465611,17977.908494664163,0.9605730993728604,0.8560848363175921,78.90824097120661,19858.877356079443,0.9451842278277645,0.8060815183409744
320,156.1886845,14.0,5.882628846,17.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78.4929743193847,21286.62786408006,0.9503790799599912,0.8295388076733898,80.3534547196375,21947.284102998172,0.9497472467747017,0.8243095416241135,81.8284772379189,22935.26860090069,0.9353171565113839,0.7760410931705038
321,500.0,20.0,14.16488318,7.864256984,1.0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,46.38244090647353,8937.553981027402,0.9807479966485605,0.9284289593533883,59.19989461209781,13598.73548818332,0.9710323289371902,0.8911406049131617,65.84012397746187,15819.597046063924,0.9580083867995669,0.8455243876768694
322,500.0,18.57288604,20.0,1.0,1.0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,35.509860641910905,5486.858471823278,0.9883934539207595,0.9560617847408036,57.542839762138264,12986.569001247619,0.9727141142473936,0.8960410659536874,62.69388043830557,14570.858144208318,0.9616399088928114,0.8577181057554126
323,249.4715265,9.960940192,6.416637684,6.701389643,0.835485838,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,54.27871930768711,11552.26947463867,0.9746738499341565,0.9074905785313162,59.603283251049056,13651.52174101302,0.9706261958269097,0.8907180450687604,67.47966786381224,16333.448553665288,0.9561288200278425,0.8405067171225089
324,500.0,4.0,7.0,1.0,1.0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,72.18196308831726,16623.77254099044,0.9609835937210205,0.8668784879222082,69.36681208008079,15433.601451962899,0.9644269730946595,0.8764522981175747,75.28618420550208,18100.868075451875,0.9483144434649793,0.8232481730480397
325,395.0,20.0,20.0,6.272987197,0.694760967,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,45.32924983508901,8828.686059080517,0.9808901994139957,0.929300762811394,60.86449045762444,14104.116218296655,0.969536231975324,0.887094975772387,67.0240927074532,16237.91911997499,0.9567928273415204,0.8414395454190339
326,1.0,10.83028442,16.08407704,1.0,0.001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.25456728213511,29861.281159555656,0.9281762450398712,0.7608738395127679,97.08033591297207,30747.326252412837,0.9253048884020365,0.7538642222077317,102.83046223784237,34746.18142902286,0.9057332414542523,0.6607095846683171
327,261.6781485,13.0,14.77478347,1.586568082,0.715293977,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,40.23062542145102,6847.3545297699575,0.9853919291405472,0.9451670680353652,58.036920713429694,13093.860844787287,0.9723568926192986,0.8951821827732895,63.98399040255669,14949.982038348055,0.9605086722145163,0.8540160269020112
328,254.3674698,15.17340447,8.015618015,6.997999621,0.529525501,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,45.60824227130772,8694.478854479956,0.9812477788443182,0.9303754807169782,59.03840987946675,13263.517694897148,0.9717974018420364,0.8938240607558897,64.44302578304554,15024.961460981413,0.9600670993296229,0.8532838658874673
329,287.4829082,11.01590208,11.74152929,17.0745763,1.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56.706144127017204,12600.995509817545,0.9723493267531684,0.8990924850652202,61.14007626647567,14179.89003654978,0.9694459081751772,0.8864883979015531,68.92203019677925,16810.719297416195,0.9548073907269876,0.8358462513615823
330,328.0179158,5.421067719,16.44722984,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.51015949360303,44202.91609269332,0.8798804733524139,0.6460274577267224,140.89183155742856,41277.11472582001,0.8892020935198287,0.6695720904427217,141.13215066097428,45737.01831859469,0.8440372923896677,0.5533859750013634
331,482.623688,14.29999332,15.20543965,1.0,0.900057088,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,36.31375408371613,5590.123499950721,0.9881668139248864,0.9552348486975448,57.68436250332569,12865.021169339285,0.972970900361579,0.8970140699118242,61.89494847684695,14333.18220025217,0.9623580674177952,0.8600389699891979
332,500.0,19.42561799,18.89261344,1.336165967,1.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,36.74488940054975,5735.993794434309,0.9878258905821238,0.9540667339317174,56.774289247369,12650.316922357035,0.9732024375093007,0.8987328013680962,61.426400428948796,14189.378863356205,0.9626109017086226,0.8614431845501902
333,466.7114547,12.71779867,3.430777666,1.0,0.655737271,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,33.2916775540682,4271.927746732351,0.9909733677853955,0.9657908287827065,57.32830028050379,12703.03080698439,0.9732929294629895,0.8983108208392302,62.29360926649847,14183.997987934712,0.9623422945915842,0.8614957278623333
334,374.2387528,12.92784405,6.499376479,1.0,1.0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,34.154864843918844,4633.590086911025,0.9902153030831001,0.9628946728429243,57.34399626520784,12981.64057097891,0.9725557171481995,0.8960805185879596,62.662959067109384,14668.336277383602,0.9612206772130522,0.8567662487475178
