,learning_rate,num_leaves,max_depth,bagging_fraction,feature_fraction,num_boost_round,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
32,0.100328212,60.27231526,55.0,0.771603087,0.873869289,1000.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62.1303079051569,13032.578123274636,0.9711989636046983,0.8956364145524514,101.60163104140415,38522.59330588369,0.9124095330634546,0.6916223417906184,100.12155540942611,36514.67846867897,0.901182239131258,0.6434405188193553
33,0.01,71.30489294,41.53488657,0.1,0.746121683,748.7181099,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,37.11884382074686,4869.358437471552,0.9897732329402902,0.9610066634124949,60.1840868475196,14078.637965655469,0.9707638797297021,0.8872989320279373,68.80303561329477,17097.392898985,0.9551293321162232,0.8330469335274888
34,0.01,83.19120282,20.51545793,0.963110828,0.854004253,812.0793339,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,28.994176293751455,2816.7748504170627,0.9941653838015254,0.9774435480065902,56.74091237150988,12808.606716475513,0.9734517073661834,0.8974656739023747,61.534410670754795,13980.29761153758,0.963404697408594,0.8634848265911298
35,0.01,19.5317658,20.69737034,0.766583053,0.735030599,638.21356,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,49.49051249209664,8981.847200984263,0.9806888870146407,0.9280742636667797,59.297534576785154,12875.565973990848,0.9726715186477992,0.8969296575738773,64.89975235075566,14392.204255891787,0.9618266686683417,0.8594626298865422
36,0.049282237,47.84735398,64.0,0.804070302,1.0,775.8196283,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,89.60074937436814,26116.840026086757,0.937723582225521,0.7908589505544737,116.01472037058326,42499.47722834372,0.8967678808994252,0.6597869422046967,112.16292324497499,39821.722483248624,0.8865570874579652,0.6111478094891072
37,0.027791223,31.9935167,36.20424833,0.859553455,0.652063974,293.3594864,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,40.01515387973067,5825.340093455084,0.9877114315139048,0.9533512576825764,55.87164299791071,12254.547783261412,0.9743214163340792,0.9019009774910471,61.57617655128681,13605.553529544937,0.9642021421211183,0.8671441373410637
38,0.01,87.59487926,45.062528,0.683063993,0.776599188,948.0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,26.485448443597015,2312.565279166174,0.9952282422024255,0.981481207951919,57.3011040167915,12917.911974520437,0.9733012708119844,0.8965906731141823,61.43498998281149,14002.702400256663,0.9633764999869703,0.8632660477280354
39,0.175278862,75.43469978,63.56659662,0.312008244,0.771936355,258.6578499,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,15.371267662310494,687.7505571242982,0.9986044469952913,0.9944925621503194,62.85053838896342,14778.318727400065,0.9690048781191144,0.8816979094517132,65.63339333069523,15940.205275926946,0.9583398709146977,0.8443466692997801
40,0.01,70.75047902,61.05304885,0.745791501,0.548238558,1000.0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,31.042573182742974,3200.7135960514875,0.9933478537885533,0.97436900483427,56.19507283234454,12543.342313794878,0.9737438126592906,0.8995891450470983,61.04773851169353,13622.89345911336,0.9641858323674452,0.8669748159462188
41,0.01,48.0475991,46.30649298,0.565723761,1.0,878.4532545,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,36.19674874055457,4654.598233329806,0.9902577457242314,0.9627264417022297,57.80884176123095,12997.322606515816,0.9729891773380364,0.895954982143504,62.55484862819336,14277.984999026707,0.9626066998999159,0.8605779610540776
